RIC,Name,Country,Peers Rank,Debt - Total,WACC %,Shs Out,EV/FCF,FCF-FY0,FCF-FY1,FCF-FY2,FCF-FY3,FCF-FY4,Close Price,m_price,method,prem/disc
LSEG.L,London Stock Exchange Group PLC,United Kingdom,0,8823000000,6.42586210266446,554446680,23.8196990616624,2252871000,2286088200,2546180500,2868066750,2909460000,8472.0,11391.616771557763,multiple,-25.629520638785642
MCO,Moody's Corp,United States of America,0,7389000000,8.64977023356543,183199910,59.3187525087239,1335736800,1282171820,1457055640,2472821400,2674817000,315.03,833.7205462073586,multiple,-62.21395749054175
SPGI.K,S&P Global Inc,United States of America,0,10956000000,8.0093613494442,329000000,31.1083541939155,2746107780,4212084460,4988992550,5272200000,5799500000,365.42,529.7498322760272,multiple,-31.0202707511954
MSCI.K,MSCI Inc,United States of America,0,4511946000,8.18963996327832,79959989,36.7687863258034,1055605500,1128198330,992453330,1380053330,1565000000,469.84,678.8863073512952,multiple,-30.792535522906416
FDS,Factset Research Systems Inc,United States of America,0,1982424000,6.96881444890623,38044756,29.1334227608425,522037330,571484640,651291090,722818330,764656000,396.19,550.909558911283,multiple,-28.084384525300766
LSEG.L,London Stock Exchange Group PLC,United Kingdom,0,8823000000,6.42586210266446,554446680,23.8196990616624,2252871000,2286088200,2546180500,2868066750,2909460000,8472.0,11391.616771557763,multiple,-25.629520638785642
ICE,Intercontinental Exchange Inc,United States of America,0,18122000000,6.83380457006429,559000000,22.9823192281953,2674600000,3344333330,3632666670,3857500000,3994000000,108.03,138.71250643910244,multiple,-22.119495369779564
NDAQ.O,Nasdaq Inc,United States of America,0,5399000000,7.27014334219859,491592491,22.409987569924,1471603570,1414600000,1498600000,1526500000,1725000000,55.32,70.94565934228892,multiple,-22.024827857191898
CME.O,CME Group Inc,United States of America,0,3514400000,5.34705390730474,358932138,22.6870332269305,2751400000,2658500000,2713666670,3580666670,3676000000,181.82,231.40325415014848,multiple,-21.427206947563437
CBOE.K,Cboe Global Markets Inc,United States of America,0,1742000000,5.60473817562453,105951199,21.3943204933813,445000000,749000000,637250000,844000000,871000000,138.97,167.5987139892123,multiple,-17.08170266214276
0388.HK,Hong Kong Exchanges and Clearing Ltd,Hong Kong,0,2236000000,12.7974244250192,1267836895,10.0246919335858,12569500000,11545516600,13368250000,18456264000,14657000000,307.6,124.07532189233355,multiple,147.9139246295248
DB1GnEUR.xbo,Deutsche Boerse AG,Germany,0,5357400000,4.89253022806247,183738945,23.5004790467788,1550771170,1832429290,1862852290,1631442430,2043231500,168.65,244.12392392586412,multiple,-30.916234145402377
MKTX.O,Marketaxess Holdings Inc,United States of America,0,0,7.02505395009965,37648148,35.1016250334119,234168000,278395750,342067000,419827000,438194500,284.59,417.25501523646176,multiple,-31.794708365884937
