TRDPRC_1,HIGH_1,LOW_1,ACVOL_UNS,OPEN_PRC,BID,ASK,TRNOVR_UNS,VWAP,BLKCOUNT,BLKVOLUM,NUM_MOVES,TRD_STATUS,SALTIM,NAVALUE,company
140.59,142.08,139.09,186739,141.47,140.51,140.54,26195663.63,140.2785,1,12469,2575,212,,,FDS
138.39,140.26,138.0,181030,139.87,138.38,138.39,25123500.6417,138.7798,,,2858,212,,,FDS
137.66,139.73,136.8,349865,139.03,137.59,137.63,48258963.0213,137.8798,3,89711,3143,212,,,FDS
138.76,139.69,137.71,230789,138.2,138.68,138.76,32006814.6349,138.685,1,15175,2541,212,,,FDS
140.47,140.84,139.57,177214,139.6,140.45,140.47,24870815.007,140.3329,1,13827,2030,212,,,FDS
139.37,140.19,138.93,208235,140.03,139.35,139.37,29055955.1493,139.5364,2,25000,2402,212,,,FDS
139.46,140.04,138.62,240838,140.04,139.43,139.46,33611608.9979,139.5615,1,22007,2611,212,,,FDS
140.28,142.36,139.01,300812,141.09,140.2,140.28,42290921.9066,140.7268,1,32300,2951,212,,,FDS
140.01,140.33,138.93,197877,138.99,139.92,139.97,27663107.2062,139.7994,2,21870,2433,212,,,FDS
138.48,140.18,137.93,230039,139.96,138.57,138.61,31889183.5119,138.6238,1,16242,2655,212,,,FDS
140.23,140.37,138.3,235988,138.3,140.19,140.22,32847218.5179,139.1882,1,13718,2612,212,,,FDS
139.43,141.05,137.84,301831,140.8,139.43,139.45,42046053.2288,139.303,,,3628,212,,,FDS
139.02,139.98,138.1182,238615,138.35,139.02,139.07,33198533.4129,139.1003,2,36289,2493,212,,,FDS
142.89,142.89,138.29,213592,139.97,142.78,142.84,30293717.4111,141.7969,1,19979,2339,212,,,FDS
144.32,145.19,142.56,283015,142.7,144.31,144.32,40896458.8515,144.5051,1,10912,3357,212,,,FDS
146.07,146.18,142.87,272232,144.6,145.98,146.03,39601331.2066,145.2479,1,51883,2684,212,,,FDS
145.85,147.085,144.5,277106,144.84,145.86,145.9,40431076.2172,145.8997,1,14935,3335,212,,,FDS
144.94,147.0,144.85,302380,147.0,144.95,144.98,44107850.6221,145.8697,1,10314,3252,212,,,FDS
144.96,145.16,143.55,289152,145.16,144.9,144.96,41819060.1488,144.6076,2,22020,3369,212,,,FDS
143.59,145.23,143.14,303562,144.43,143.63,143.66,43741352.4006,144.1312,1,18771,3650,212,,,FDS
144.31,144.67,141.23,306073,144.67,144.23,144.29,43856155.9671,143.2801,1,32170,3711,212,,,FDS
148.68,148.74,144.45,363428,144.45,148.67,148.68,53484637.0559,147.1116,2,31950,3850,212,,,FDS
147.77,148.61,147.06,198035,148.07,147.65,147.73,29269199.6052,147.7979,1,14856,2245,212,,,FDS
148.41,148.64,147.28,240247,148.18,148.32,148.38,35565871.6743,148.0385,1,11922,2693,212,,,FDS
147.99,149.09,147.4,170527,148.43,147.95,147.99,25266370.6179,148.1679,1,17915,1980,212,,,FDS
148.52,148.955,146.66,247414,147.44,148.52,148.57,36669124.5911,148.2159,1,52508,2366,212,,,FDS
149.98,150.09,147.4926,113322,149.0,149.96,149.99,16902222.5088,149.1495,1,11420,1284,212,,,FDS
150.81,151.25,148.98,253069,149.73,150.77,150.81,37995252.5964,150.1309,2,39700,2415,212,,,FDS
153.81,153.9,150.58,220580,150.82,153.69,153.79,33732554.7483,152.9147,,,2530,212,,,FDS
155.05,155.28,153.06,221875,153.31,155.05,155.09,34314994.4822,154.6536,,,2450,212,,,FDS
154.04,155.78,153.38,251670,155.63,153.92,154.01,38790434.37,154.1328,1,14077,2871,212,,,FDS
155.51,155.7,153.0102,176688,153.73,155.39,155.47,27405305.8634,155.1061,,,2578,212,,,FDS
156.15,156.838,154.94,213258,155.02,156.07,156.15,33248864.3878,155.9077,,,2820,212,,,FDS
158.05,158.27,154.74,145858,155.56,158.07,158.14,22955332.6963,157.375,1,18357,1801,212,,,FDS
158.08,158.25,156.595,238418,158.09,157.98,158.05,37561826.0541,157.5426,1,16689,2646,212,,,FDS
157.5,158.29,156.71,193934,157.86,157.52,157.55,30539352.8559,157.4727,1,18692,2198,212,,,FDS
157.26,157.53,156.31,240968,157.53,157.22,157.26,37797831.5605,156.8514,1,16700,2918,212,,,FDS
155.88,158.04,155.71,295112,157.43,155.77,155.78,46171007.4144,156.4494,,,3071,212,,,FDS
155.55,156.28,154.73,242884,155.94,155.54,155.55,37757825.5433,155.4519,1,12863,2839,212,,,FDS
155.86,156.81,155.0,267366,155.66,155.76,155.79,41627358.6343,155.6934,1,41929,2739,212,,,FDS
154.61,155.87,154.51,282269,155.67,154.6,154.61,43758626.0588,155.0276,1,16003,3105,212,,,FDS
152.69,154.23,152.53,455474,154.23,152.68,152.69,69684303.4508,152.9954,,,5052,212,,,FDS
154.5,155.0,152.56,347937,152.56,154.49,154.5,53767539.378,154.5306,,,4754,212,,,FDS
152.1,154.46,151.84,304014,153.59,152.05,152.09,46400994.3098,152.6321,1,12652,4103,212,,,FDS
152.66,153.21,151.99,625934,152.15,152.61,152.66,95568135.3226,152.6807,2,55710,6591,212,,,FDS
150.12,152.51,150.09,369620,151.68,150.19,150.21,55903266.2698,151.2471,1,14927,4236,212,,,FDS
150.79,151.0,149.68,462908,150.43,150.75,150.78,69626734.2873,150.4071,4,90814,4268,212,,,FDS
153.44,153.45,151.41,446410,151.71,153.43,153.44,68155082.715,152.4806,3,55697,4301,212,,,FDS
151.78,153.46,150.63,417484,153.3,151.78,151.85,63310565.3291,151.6477,1,19750,3984,212,,,FDS
154.19,154.9,151.78,406831,151.81,154.2,154.26,62729212.9717,154.1905,1,15775,4241,212,,,FDS
158.96,159.29,152.21,459167,153.95,158.92,158.96,72103142.9219,157.0268,1,25289,4998,212,,,FDS
157.58,159.55,155.79,543267,159.19,157.53,157.55,85356542.7493,157.1138,1,23958,5509,212,,,FDS
156.45,158.13,156.14,258394,157.53,156.4,156.44,40469055.0842,156.6197,1,11845,3105,212,,,FDS
155.63,157.7313,155.34,469837,157.29,155.57,155.62,73278439.359,155.9915,2,116606,3793,212,,,FDS
156.71,157.39,154.72,372578,155.63,156.61,156.71,58388132.2516,156.714,2,31047,3929,212,,,FDS
157.39,157.62,155.398,533476,156.4,157.33,157.38,84077045.404,157.1515,1,20315,5362,212,,,FDS
155.46,157.94,155.15,540800,157.94,155.4,155.43,84368135.9553,156.0061,1,15773,5299,212,,,FDS
156.62,156.995,154.41,406847,154.41,156.55,156.61,63541957.1383,156.1791,2,27880,4474,212,,,FDS
157.8,158.08,155.73,348845,156.21,157.76,157.8,54841223.8878,157.1996,1,10043,4071,212,,,FDS
159.9,160.19,157.85,370883,158.13,159.9,159.95,59152565.5657,159.4896,1,33800,3672,212,,,FDS
159.2,161.05,158.52,380909,159.13,159.16,159.17,60850303.65,159.7562,1,26640,4002,212,,,FDS
160.1,160.4,156.675,463866,158.8,160.02,160.09,73869612.172,159.2437,1,18646,5002,212,,,FDS
159.99,161.79,159.2,570070,159.85,159.94,159.96,91379395.5559,160.2955,5,169037,4082,212,,,FDS
159.97,160.7,158.28,328601,159.02,159.96,159.97,52557945.4198,159.9427,1,35703,3095,212,,,FDS
160.02,160.26,159.16,433489,160.0,160.01,160.02,69323701.8848,159.92,2,33454,3562,212,,,FDS
161.06,161.83,159.89,543687,159.92,160.99,161.0,87490454.6789,160.9205,10,218338,3815,212,,,FDS
161.04,161.9,160.21,299253,161.26,160.96,161.0,48138867.2585,160.8642,,,2973,212,,,FDS
158.55,161.65,157.9,571958,160.91,,,90899281.4604,158.856,2,60761,5336,212,,,FDS
157.53,159.18,157.1,545840,158.32,157.47,157.5,86310622.289,158.1299,2,112643,3592,212,,,FDS
158.64,159.309,157.13,232114,157.86,158.58,158.6,36793075.0304,158.5115,,,3127,212,,,FDS
158.68,159.82,158.65,221989,159.34,158.7,158.72,35342411.1355,159.0977,1,23655,2519,212,,,FDS
158.37,158.6,157.74,343650,158.6,158.41,158.42,54385493.8608,158.258,2,96540,3526,212,,,FDS
156.25,157.97,155.56,425754,157.22,156.26,156.28,66688794.7456,156.6364,5,80246,4020,212,,,FDS
157.45,158.94,156.96,277732,156.96,157.45,157.48,43899190.0847,158.0559,1,13026,3249,212,,,FDS
158.23,159.01,158.11,196054,158.71,158.18,158.2,31073783.1654,158.4989,1,11148,2201,212,,,FDS
158.49,158.9699,157.07,214005,158.64,158.49,158.51,33892423.0079,158.3712,1,12980,2491,212,,,FDS
159.68,160.2,158.15,199162,158.15,159.64,159.68,31769976.5149,159.5162,1,10573,2188,212,,,FDS
159.73,160.36,158.63,209345,160.13,159.73,159.76,33464717.4841,159.8546,,,2772,212,,,FDS
158.84,160.06,158.49,193995,159.98,158.85,158.88,30881103.2652,159.1857,,,2404,212,,,FDS
159.88,160.52,158.125,242571,159.05,159.94,159.97,38803574.5551,159.9709,1,21221,2838,212,,,FDS
158.87,160.33,158.17,225371,159.59,158.88,158.91,35851736.7566,159.0843,,,2895,212,,,FDS
157.39,159.98,156.88,277329,158.48,157.4,157.45,43859021.822,158.1692,1,33967,3121,212,,,FDS
159.14,160.35,158.217,263305,158.44,159.12,159.14,41896542.5257,159.1208,,,3080,212,,,FDS
160.07,161.27,159.63,154475,159.72,160.01,160.07,24751103.8673,160.2295,,,2079,212,,,FDS
158.97,161.18,158.575,250703,159.57,158.98,159.0,39909526.1069,159.1909,2,29753,2736,212,,,FDS
159.14,160.0,158.73,228402,159.92,159.11,159.12,36370898.9135,159.2421,1,14964,2654,212,,,FDS
159.68,160.1,157.9775,247480,158.76,159.68,159.72,39517372.1353,159.6791,1,47269,2173,212,,,FDS
161.07,161.69,159.9,159226,161.13,161.0,161.07,25616882.2537,160.8823,,,2074,212,,,FDS
161.7,161.85,159.63,228485,160.86,161.66,161.69,36901818.1103,161.506,1,29680,2327,212,,,FDS
161.57,161.86,160.38,241234,161.25,161.5,161.56,38919363.9006,161.33,1,17795,2766,212,,,FDS
162.85,162.93,161.19,216281,161.93,162.77,162.8,35131013.5591,162.4322,1,19962,2417,212,,,FDS
165.11,165.14,162.9075,220482,163.0,165.02,165.1,36227835.9813,164.3074,1,20559,2574,212,,,FDS
165.25,166.0299,164.51,160532,165.32,165.18,165.22,26499986.3268,165.0749,1,12601,1904,212,,,FDS
166.57,166.68,164.47,324599,164.87,166.52,166.53,53910280.5046,166.0903,2,123243,2503,212,,,FDS
167.86,168.609,166.67,247091,167.14,167.88,167.91,41468079.8195,167.8252,1,45693,2382,212,,,FDS
167.52,168.6199,167.19,159437,168.19,167.52,167.57,26778651.9762,167.959,,,1995,212,,,FDS
167.7,167.96,166.54,229896,167.2,167.64,167.66,38477249.5804,167.3356,2,62341,2027,212,,,FDS
