TRDPRC_1,HIGH_1,LOW_1,ACVOL_UNS,OPEN_PRC,BID,ASK,TRNOVR_UNS,VWAP,BLKCOUNT,BLKVOLUM,NUM_MOVES,TRD_STATUS,SALTIM,NAVALUE,company
43.528,44.152,43.16,2868185.0,44.078,43.514,43.528,124729138.5287,43.48576,1,171050.0,6058,212,,,ICE
43.766,44.168,43.23,5274175.0,43.4,43.78,43.79,231289764.9677,43.85376,3,401510.0,11403,212,,,ICE
43.14,44.156,42.71,6892380.0,43.916,43.16,43.162,298025860.7364,43.24292,3,1368725.0,13876,212,,,ICE
43.75,43.79,42.762,14758775.0,43.294,43.762,43.772,641663793.2575,43.47542,6,6382790.0,17416,212,,,ICE
44.3,44.728,43.95,4231780.0,43.95,44.392,44.396,188082213.2357,44.44892,3,425930.0,8884,212,,,ICE
44.326,44.77,44.1176,2918090.0,44.358,44.33,44.342,129636846.3628,44.42618,2,270235.0,7597,212,,,ICE
43.166,44.428,42.996,4094395.0,44.258,43.17,43.178,177597747.6859,43.37792,1,366295.0,9917,212,,,ICE
41.9,43.908,41.752,8884815.0,43.382,41.94,41.944,376427725.4384,42.39926,8,1494505.0,16627,212,,,ICE
41.6,42.048,41.224,6398150.0,41.464,41.636,41.65,266202030.6888,41.60624,5,756945.0,12101,212,,,ICE
41.136,41.854,41.106,5821220.0,41.6,41.116,41.122,241036176.7302,41.40774,5,436365.0,11025,212,,,ICE
41.88,41.899,40.898,4470170.0,41.048,41.86,41.872,185632358.1263,41.52282,3,857265.0,8740,212,,,ICE
41.594,42.39,41.342,3806045.0,42.116,41.594,41.608,158466731.2265,41.63592,1,198155.0,7828,212,,,ICE
41.312,41.8425,41.114,2980835.0,41.446,41.294,41.304,123342542.3346,41.38028,1,135505.0,6675,212,,,ICE
42.838,42.916,41.25,5820755.0,41.362,42.84,42.842,246360773.7923,42.32066,1,748765.0,10479,212,,,ICE
43.342,43.574,42.776,4481495.0,43.008,43.344,43.346,193871086.5126,43.24846,4,643600.0,8772,212,,,ICE
43.55,43.576,42.81,2299980.0,43.04,43.548,43.552,99623948.0647,43.30542,1,100210.0,5391,212,,,ICE
42.54,43.406,42.498,3763395.0,43.052,42.548,42.558,162342347.6783,42.89204,3,317640.0,7857,212,,,ICE
41.088,42.708,41.076,5298505.0,42.516,41.102,41.108,220425488.4679,41.60592,3,545655.0,11412,212,,,ICE
40.974,41.2,40.448,6674715.0,41.05,40.992,40.998,272734406.2023,40.85254,4,872595.0,12548,212,,,ICE
41.146,41.792,40.558,5097460.0,40.65,41.17,41.182,210702424.8134,41.28926,2,547145.0,10901,212,,,ICE
41.682,41.722,41.113,3344570.0,41.416,41.68,41.684,138666711.0892,41.4455,2,204900.0,7783,212,,,ICE
42.274,42.314,41.718,2689550.0,41.718,42.27,42.274,113007128.7618,42.0142,1,127750.0,7393,212,,,ICE
43.0,43.234,42.09,5297840.0,42.09,43.0,43.002,226899274.3241,42.82364,2,266530.0,11091,212,,,ICE
45.17,45.222,43.146,6867415.0,43.148,45.212,45.216,307254091.7718,44.74014,3,247655.0,14150,212,,,ICE
45.744,46.198,45.3452,5489500.0,45.348,45.764,45.768,251087438.3699,45.7346,5,510790.0,10881,212,,,ICE
45.806,46.39,45.5,3155780.0,45.566,45.842,45.854,144883023.5753,45.91214,1,157140.0,7091,212,,,ICE
46.26,46.34,45.762,3033780.0,45.936,46.258,46.272,140027735.2353,46.15562,2,188495.0,7431,212,,,ICE
46.368,46.528,46.014,2690920.0,46.176,46.358,46.36,124545207.8545,46.28262,1,95560.0,7038,212,,,ICE
46.886,46.976,46.236,2520215.0,46.354,46.866,46.874,117702202.4809,46.70316,2,200340.0,6100,212,,,ICE
46.644,47.074,46.606,2324090.0,46.976,46.622,46.63,108645832.9097,46.74958,1,118585.0,6271,212,,,ICE
46.962,47.14,46.552,2549255.0,46.718,46.966,46.976,119549004.8803,46.91672,2,462620.0,5774,212,,,ICE
46.954,47.122,46.564,2500560.0,46.85,46.966,46.972,117375120.1719,46.93924,1,102640.0,6616,212,,,ICE
46.782,47.35,46.742,1847800.0,46.772,46.792,46.802,86745801.8415,46.9478,1,115055.0,4853,212,,,ICE
47.004,47.098,46.256,5473030.0,46.782,47.006,47.014,255418686.3364,46.72494,4,2690680.0,7429,212,,,ICE
46.884,47.0,46.502,1879040.0,46.938,46.884,46.894,88075810.0534,46.87258,1,101450.0,4801,212,,,ICE
47.106,47.638,46.669,2621330.0,46.808,47.084,47.09,123737345.9211,47.2064,1,140965.0,7318,212,,,ICE
47.77,47.996,46.658,4254045.0,47.01,47.75,47.758,202710106.6225,47.64954,5,516625.0,9399,212,,,ICE
47.646,48.01,47.332,3363975.0,47.876,47.65,47.66,160167344.409,47.61218,1,601420.0,6548,212,,,ICE
47.072,47.824,47.048,2566645.0,47.634,47.064,47.066,124909398.4612,47.33362,1,249015.0,5670,212,,,ICE
47.864,47.96,46.957,3608760.0,46.978,47.838,47.84,171589235.9016,47.54726,2,371125.0,7796,212,,,ICE
47.122,47.98394,46.468,3956260.0,47.652,47.12,47.122,186039473.954,47.02112,3,359135.0,8840,212,,,ICE
46.59,47.04,46.202,4417470.0,47.024,46.584,46.586,205352683.7903,46.4858,1,689840.0,9230,212,,,ICE
46.822,46.998,46.592,3005355.0,46.948,46.806,46.822,140561728.0282,46.77096,3,415255.0,8143,212,,,ICE
46.084,47.254,46.052,3556410.0,46.762,46.082,46.086,165359461.9151,46.49918,1,221900.0,8294,212,,,ICE
46.786,46.896,46.014,3447990.0,46.25,46.744,46.75,160839274.6921,46.64662,1,370595.0,7776,212,,,ICE
45.59,46.45,45.584,3310530.0,46.45,45.602,45.614,151748049.4321,45.83658,3,428530.0,6929,212,,,ICE
45.72,45.996,45.175,3697795.0,45.888,45.728,45.732,168889334.8168,45.67278,2,818180.0,7251,212,,,ICE
46.154,46.4256,45.714,2509605.0,46.084,46.156,46.162,115537299.2402,46.03714,2,222305.0,5456,212,,,ICE
45.818,46.344,45.566,2664215.0,46.03,45.804,45.808,122196077.5489,45.86656,2,247810.0,5162,212,,,ICE
46.59,46.772,46.094,2469595.0,46.096,46.594,46.604,114964306.078,46.55082,1,316100.0,5431,212,,,ICE
46.702,46.777,46.092,3281160.0,46.422,46.69,46.702,152461473.9658,46.46846,2,1362310.0,5196,212,,,ICE
46.294,46.61,45.824,2985675.0,46.542,46.29,46.292,137926768.1874,46.19392,3,322795.0,6520,212,,,ICE
47.342,47.408,46.05,3824380.0,46.16,47.342,47.346,179926431.5457,47.04492,3,639070.0,7642,212,,,ICE
47.34,47.584,46.948,5105815.0,47.342,47.332,47.338,242081916.9488,47.3711,15,2460620.0,5960,212,,,ICE
47.066,47.514,46.802,3109035.0,47.462,47.066,47.072,146378170.5434,47.08212,7,1105270.0,4935,212,,,ICE
46.862,47.25,46.57,2964665.0,46.87,46.848,46.85,139108492.1158,46.92256,1,608105.0,5461,212,,,ICE
46.19,47.056,45.942,4391815.0,46.834,46.19,46.194,203081101.51,46.24088,3,853565.0,8585,212,,,ICE
45.95,46.46,45.522,3433515.0,45.894,45.956,45.962,157963296.2918,46.00652,3,689615.0,7038,212,,,ICE
46.396,46.532,45.768,2413955.0,45.78,46.396,46.406,111548859.828,46.18714,2,454805.0,4930,212,,,ICE
46.996,47.03,46.508,2421190.0,46.7,46.984,46.986,113503590.8462,46.8785,1,439605.0,5070,212,,,ICE
46.654,46.8598,46.396,3286070.0,46.684,46.63,46.642,153206814.6917,46.62278,1,481100.0,7286,212,,,ICE
46.184,47.078,46.094,3358675.0,46.532,46.202,46.214,156002551.9728,46.44644,1,302370.0,7734,212,,,ICE
45.774,46.38,45.494,2628095.0,46.216,45.764,45.772,120195007.6623,45.73438,2,451025.0,5442,212,,,ICE
45.866,46.334,45.4438,2119490.0,45.566,45.872,45.874,97566438.309,46.03324,1,118105.0,5718,212,,,ICE
45.962,46.35,45.71,2671370.0,45.956,45.96,45.962,122949640.5609,46.02528,1,89530.0,6099,212,,,ICE
46.1,46.4,45.98,2367430.0,45.992,46.106,46.108,109257310.1602,46.15074,1,160705.0,5499,212,,,ICE
46.178,46.23,45.606,1795450.0,46.0,46.184,46.19,82594372.3884,45.99982,1,137095.0,4179,212,,,ICE
46.382,46.518,46.04,1600985.0,46.228,,,74137644.3652,46.3045,2,260055.0,3632,212,,,ICE
46.158,46.556,46.1304,1972600.0,46.256,46.138,46.14,91404693.4319,46.3304,2,361305.0,4000,212,,,ICE
45.776,46.50198,45.528,2344995.0,46.126,45.76,45.774,107408248.3576,45.80304,1,173700.0,5780,212,,,ICE
45.958,46.3,45.5,3681730.0,45.832,45.944,45.956,169061254.8273,45.912,3,554245.0,7707,212,,,ICE
45.976,46.27,45.572,1625860.0,45.938,45.976,45.986,74847335.1085,46.03558,1,128735.0,4072,212,,,ICE
44.734,46.072,44.536,3454040.0,45.654,44.724,44.74,154977134.2107,44.86666,2,308415.0,8783,212,,,ICE
45.134,45.21,44.656,2669075.0,44.864,45.11,45.116,120145351.1506,45.01334,2,234155.0,6130,212,,,ICE
44.824,45.21998,44.64,2182775.0,45.134,44.822,44.824,97969992.232,44.88372,1,91715.0,5498,212,,,ICE
45.122,45.514,44.586,3216820.0,44.836,45.12,45.122,145366955.396,45.19014,2,199735.0,6952,212,,,ICE
45.038,45.31,44.902,1976030.0,45.02,45.038,45.046,89167520.0259,45.12588,1,222770.0,4476,212,,,ICE
44.678,45.174,44.256,3232135.0,44.946,44.672,44.676,144251120.1769,44.62958,1,231680.0,7294,212,,,ICE
44.55,44.992,44.409,3160910.0,44.672,44.546,44.55,140942908.1756,44.58908,3,543295.0,6888,212,,,ICE
44.858,44.888,44.231,2640185.0,44.55,44.848,44.856,117932652.869,44.66608,1,239875.0,5806,212,,,ICE
