TRDPRC_1,MKT_HIGH,MKT_LOW,ACVOL_UNS,MKT_OPEN,BID,ASK,TRNOVR_UNS,VWAP,MID_PRICE,PERATIO,ORDBK_VOL,NUM_MOVES,IND_AUCVOL,OFFBK_VOL,HIGH_1,ORDBK_VWAP,IND_AUC,OPEN_PRC,LOW_1,OFF_CLOSE,CLS_AUCVOL,OPN_AUCVOL,OPN_AUC,CLS_AUC,TRD_STATUS,INT_AUC,INT_AUCVOL,EX_VOL_UNS,ALL_C_MOVE,ELG_NUMMOV,NAVALUE
2224.0,2243.0,2191.0,278969,2243.0,2224,2225,620029000.0,2222.572,2224.5,37.2526,254820,1376,,,2243,2221.987,,2243,2191,2224,59989,1661,2243,2224,,,,,,,
2204.0,2254.0,2199.0,560234,2212.0,2204,2205,1244430000.0,2221.268,2204.5,37.3029,514011,2476,,,2254,2221.27,,2212,2199,2204,109988,2907,2212,2204,,,,,,,
2174.0,2210.0,2166.0,474107,2204.0,2173,2174,1035420000.0,2183.937,2173.5,36.9675,430521,2401,,,2208,2183.714,,2204,2166,2174,116205,6644,2204,2174,,,,,,,
2190.0,2207.0,2176.0,571133,2183.0,2189,2190,1252315000.0,2192.685,2189.5,36.4643,562194,2658,,,2207,2192.602,,2183,2176,2190,158287,3666,2183,2190,,,,,,,
2216.0,2222.0,2202.0,548731,2210.0,2215,2216,1215376000.0,2214.885,2215.5,36.7326,521716,2031,,,2222,2214.974,,2210,2202,2216,219761,5446,2210,2216,,,,,,,
2215.0,2241.0,2206.0,460842,2210.0,2215,2216,1023769000.0,2221.519,2215.5,37.1687,436820,1833,,,2241,2220.994,,2210,2206,2215,167060,1891,2210,2215,,,,,,,
2193.0,2243.2469,2188.0,439886,2219.0,2193,2194,969567000.0,2204.133,2193.5,37.152,362561,1559,,,2243,2205.803,,2219,2188,2193,112336,3088,2219,2193,,,,,,,
2258.0,2259.0,2188.0,536705,2190.0,2255,2258,1204576000.0,2244.391,2256.5,36.783,518372,2043,,,2259,2244.393,,2190,2188,2258,194723,6766,2190,2258,,,,,,,
2212.0,2242.0,2193.0,512100,2240.0,2210,2213,1134126000.0,2214.657,2211.5,37.8732,495089,2206,,,2242,2214.467,,2240,2193,2212,173108,3466,2240,2212,,,,,,,
2248.0,2255.0,2169.0,797614,2226.0,2254,2255,1773301000.0,2223.258,2254.5,37.1016,754978,3492,,,2255,2223.82,,2226,2169,2255,182488,4501,2226,2255,,,,,,,
2195.0,2262.0,2190.0,3540715,2244.0,2255,2256,7942117000.0,2243.083,2255.5,37.8229,513122,2194,,,2262,2238.157,,2244,2190,2255,136221,2423,2244,2255,119,2210,62110,,,,
2284.0,2287.0,2238.0,459861,2251.0,2284,2285,1044556000.0,2271.461,2284.5,37.8229,387715,1739,,,2287,2272.511,,2251,2238,2284,99696,3553,2251,2284,,,,,,,
2319.0,2321.0,2276.0,594942,2290.0,2317,2319,1371903000.0,2305.945,2318.0,38.3093,478751,2031,,,2321,2306.94,,2290,2276,2319,167771,3127,2290,2319,,,,,,,
2341.0,2341.0,2312.0,419006,2319.0,2341,2342,976675000.0,2330.932,2341.5,38.8963,397205,1772,,,2341,2330.792,,2319,2312,2341,139555,1975,2319,2341,,,,,,,
2380.0,2385.0,2323.0,659498,2340.0,2380,2381,1556626000.0,2360.32,2380.5,39.2653,628644,2840,,,2385,2360.692,,2340,2323,2380,120784,2841,2340,2380,,,,,,,
2374.0,2404.0,2361.0,525684,2386.0,2373,2374,1252349000.0,2382.324,2373.5,39.9195,474972,2067,,,2404,2381.347,,2386,2361,2374,132495,5104,2386,2374,,,,,,,
2405.0,2416.0,2338.2057,367004,2348.0,2404,2405,879972000.0,2397.717,2404.5,39.8189,341799,1920,,,2416,2397.966,,2348,2348,2405,104851,1588,2348,2405,,,,,,,
2353.0,2411.0,2342.0,513804,2405.0,2353,2356,1216340000.0,2367.324,2354.5,40.3388,495723,2545,,,2411,2366.796,,2405,2342,2353,135815,5257,2405,2353,,,,,,,
2384.0,2384.0,2326.0,439575,2370.0,2383,2384,1038206000.0,2361.84,2383.5,39.4666,427266,2357,,,2384,2361.816,,2370,2326,2384,103983,2643,2370,2384,119,,,,,,
2411.0,2418.0,2347.0,653651,2374.0,2411,2412,1563910000.0,2392.577,2411.5,39.9866,574194,2789,,,2418,2394.573,,2374,2347,2411,163650,3857,2374,2411,,,,,,,
2365.0,2419.0,2358.0,556374,2411.0,2364,2365,1319874000.0,2372.279,2364.5,40.4394,536833,1947,,,2419,2372.346,,2411,2358,2365,249226,11497,2411,2365,,,,,,,
2342.0,2378.0,2310.0,673284,2367.0,2342,2343,1570762000.0,2332.986,2342.5,39.6679,594048,2818,,,2378,2333.408,,2367,2310,2342,132771,6588,2367,2342,,,,,,,
2385.522505,2393.0,2344.0,586921,2344.0,2382,2383,1394704000.0,2376.306,2382.5,39.2821,547716,2486,,,2393,2376.211,,2344,2344,2383,153432,5292,2344,2383,,,,,,,
2382.0,2384.0,2345.0,542741,2380.0,2382,2383,1287015000.0,2371.324,2382.5,39.9698,515642,2255,,,2384,2370.975,,2380,2345,2382,155167,7863,2380,2382,,,,,,,
2375.0249,2384.0,2340.0,240502,2363.0,2360,2361,567919000.0,2361.388,2360.5,39.953,227904,1050,,,2384,2361.049,,2363,2340,2361,72564,2393,2363,2361,,,,,,,
2349.530268,2362.0,2330.0,413013,2354.0,2355,2356,969553000.0,2347.512,2355.5,39.6008,335034,1583,,,2362,2348.157,,2354,2330,2356,108365,8842,2354,2356,,,,,,,
2334.0,2354.0,2326.0,456581,2347.0,2333,2334,1067996000.0,2339.116,2333.5,39.5169,443693,2440,,,2354,2339.183,,2347,2326,2334,101011,1780,2347,2334,,,,,,,
2387.0,2390.0,2338.625,462590,2341.0,2387,2388,1098552000.0,2374.786,2387.5,39.1479,415378,1723,,,2390,2374.594,,2341,2339,2387,163233,8044,2341,2387,,,,,,,
2383.0,2394.0,2361.0,542152,2383.0,2378,2379,1290404000.0,2380.151,2378.5,40.0369,232189,1189,,,2394,2376.901,,2383,2361,2378,95591,1138,2383,2378,,,,,,,
2407.596025,2419.0,2369.66667,650666,2370.0,2414,2415,1564720000.0,2404.798,2414.5,39.8859,629304,2704,,,2419,2404.842,,2370,2370,2414,150414,1660,2370,2414,,,,,,,
2400.0,2436.0,2389.0,409285,2415.0,2399,2400,984646000.0,2405.771,2399.5,40.4898,380647,1767,,,2436,2405.25,,2415,2389,2400,147184,8079,2415,2400,,,,,,,
2387.306287,2402.0,2369.0,429297,2388.0,2392,2393,1024998000.0,2387.619,2392.5,40.2549,374741,1373,,,2402,2388.378,,2388,2369,2392,136331,1454,2388,2392,,,,,,,
2413.959621,2423.0,2361.0,683045,2361.0,2422,2423,1647169000.0,2411.509,2422.5,40.1208,413506,1696,,,2423,2413.126,,2361,2361,2422,131413,449,2361,2422,,,,,,,
2436.1,2439.0,2422.0,938787,2429.0,2434,2435,2284153000.0,2433.09,2434.5,40.624,528165,2596,,,2439,2432.809,,2429,2424,2435,125458,7171,2429,2435,,,,,,,
2454.0,2458.0,2425.0,354522,2437.0,2453,2454,867439000.0,2446.784,2453.5,40.842,337056,1544,,,2458,2446.87,,2437,2425,2454,101573,5167,2437,2454,,,,,,,
2461.0,2466.0,2434.0,380361,2451.0,2461,2462,935000000.0,2458.191,2461.5,41.1607,373105,1550,,,2466,2458.153,,2451,2434,2461,103529,3455,2451,2461,,2461,71806,,,,
2506.0,2511.0,2474.0,428401,2474.0,2506,2507,1071628000.0,2501.461,2506.5,41.2781,402909,2183,,,2511,2501.761,,2474,2474,2506,106446,3272,2474,2506,,,,,,,
